Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
37.0,0.0,3.0,15.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,23834.0
28.0,0.0,3.0,27.0,2.0,1.0,3.0,4.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,28659.0
51.0,0.0,3.0,7.0,2.0,1.0,4.0,4.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,25025.0
29.0,1.0,1.0,29.0,2.0,2.0,2.0,3.0,0.0,3.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,17201.0
43.0,1.0,1.0,9.0,3.0,2.0,3.0,4.0,4.0,5.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,36343.0
47.0,0.0,1.0,22.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,20067.0
36.0,1.0,3.0,25.0,3.0,2.0,4.0,4.0,1.0,5.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,20822.0
55.0,0.0,1.0,8.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0,25976.0
35.0,1.0,1.0,27.0,1.0,1.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,21263.0
37.0,0.0,3.0,7.0,3.0,0.0,3.0,4.0,1.0,3.0,3.0,6.0,0.0,1.0,1.0,2.0,2.0,25331.0
32.0,1.0,1.0,14.0,3.0,1.0,3.0,4.0,1.0,5.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,22984.0
35.0,1.0,1.0,10.0,2.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,0.0,5.0,1.0,3.0,2.0,24111.0
34.0,1.0,2.0,10.0,2.0,2.0,3.0,4.0,0.0,4.0,1.0,5.0,1.0,5.0,0.0,2.0,1.0,20955.0
41.0,0.0,1.0,16.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,0.0,4.0,0.0,1.0,3.0,32177.0
36.0,0.0,1.0,9.0,2.0,1.0,4.0,4.0,1.0,5.0,1.0,4.0,0.0,4.0,1.0,3.0,2.0,23771.0
27.0,0.0,3.0,8.0,2.0,2.0,2.0,5.0,1.0,3.0,2.0,4.0,0.0,4.0,1.0,1.0,2.0,20071.0
33.0,0.0,3.0,16.0,3.0,2.0,3.0,6.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,23346.0
48.0,1.0,3.0,35.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,27504.0
34.0,1.0,1.0,16.0,2.0,2.0,2.0,3.0,0.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,17008.0
36.0,0.0,1.0,10.0,2.0,2.0,3.0,4.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,19959.0
38.0,0.0,1.0,8.0,3.0,1.0,2.0,4.0,0.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,17440.0
36.0,1.0,3.0,7.0,3.0,2.0,4.0,4.0,3.0,4.0,0.0,3.0,0.0,4.0,1.0,3.0,3.0,25973.0
41.0,0.0,3.0,16.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,21230.0
27.0,1.0,1.0,7.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,1.0,22633.0
46.0,1.0,3.0,9.0,1.0,2.0,3.0,6.0,1.0,3.0,3.0,2.0,0.0,5.0,0.0,1.0,2.0,25310.0
56.0,1.0,3.0,33.0,3.0,2.0,3.0,5.0,2.0,3.0,1.0,3.0,0.0,3.0,1.0,2.0,4.0,38264.0
37.0,0.0,3.0,25.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,5.0,0.0,0.0,3.0,22642.0
